$ pnpm run check:text && pnpm run check:shop-spacing && pnpm run check:stall-shape && pnpm run check:gondola-sightline && pnpm run check:hop-clearance && pnpm run check:deck-fallthrough && tsc --noEmit && pnpm run typecheck:test && pnpm run check:brevity && pnpm run check:assets && pnpm run check:hat-fit && pnpm run check:glasses-fit && pnpm run check:hood-face && pnpm run check:baked-face && pnpm run check:character-parity && pnpm run check:hair && pnpm run check:crowd && pnpm run check:speech-bubbles && pnpm run check:ride-camera && pnpm run check:slide-rider && pnpm run check:pet-slide && pnpm run check:orientation && pnpm run check:sky-view && pnpm run check:space-night && pnpm run check:waypoints && pnpm run check:seed-pool && pnpm run check:park && pnpm run check:fountain-hop && pnpm run check:park-map && pnpm run check:hud-during-rides && pnpm run check:solve-cost && pnpm run check:jitter && pnpm run check:castle && pnpm run check:benches && pnpm run check:castle-floors && pnpm run check:hall-solid && pnpm run check:hotel && pnpm run check:tap-spacing && pnpm run check:look-around && pnpm run check:nav-routes && pnpm run check:path-preference && pnpm run check:rail-race && pnpm run check:cart-shape && pnpm run check:tie-frame && pnpm run check:cruiser-solves && pnpm run check:cruiser-turn-radius && pnpm run check:cruiser-clearance && pnpm run check:castle-window && pnpm run check:backpack-peek && pnpm run check:statue-occlusion && pnpm run check:keyring-hang && pnpm run check:keyring-view && pnpm run check:climb-wave && pnpm run check:cat-bus && pnpm run check:cat-bus-suspension && pnpm run check:bus-journey && pnpm run check:park-boot && pnpm run check:arrival-completes
$ node scripts/check-text-sizes.mjs
TEXT RULE: no text below the minimum size. ✓
$ node scripts/checkShopSpacing.mjs
Plate 42.43 x 31.11 m
Market: stall 2.8 m, along-row pitch 7.52 m, row separation 7.52 m, aisle 4.72 m

  toy          floor 0  r1c0  x[-8.92, -6.12] z[-8.08, -5.28]  faces +Z
  balloon      floor 0  r2c0  x[-5.16, -2.36] z[-0.56, 2.24]  faces -Z
  candyFloss   floor 0  r2c1  x[2.36, 5.16] z[-0.56, 2.24]  faces -Z
  iceCream     floor 0  r1c1  x[-1.40, 1.40] z[-8.08, -5.28]  faces +Z
  hat          floor 0  r1c2  x[6.12, 8.92] z[-8.08, -5.28]  faces +Z
  stickerPet   floor 0  r0c0  x[-12.68, -9.88] z[-14.46, -11.66]  faces +Z
  surpriseEgg  floor 0  r0c1  x[9.88, 12.68] z[-14.46, -11.66]  faces +Z

  rank 0 (2 stalls, faces +Z): 3.58 m to rank 1, needs 3.58 m

  rank 1 (3 stalls, faces +Z): 4.72 m to rank 2, needs 4.72 m

  rank 2 (2 stalls, faces -Z): 4.72 m to rank 1, needs 4.72 m
  all 7 stalls on floor 0: one room, one market

PASS: 7 stalls on one floor, every rank with a lane in front of it, at least one facing pair, every serving spot in a lane.
$ node --no-warnings --import ./scripts/ts-extension-resolver-register.mjs scripts/check-stall-shape.mts
Ceiling 3.30 m, stall footprint 2.80 m square, pitch along a row 7.52 m

  toy          gable     top 3.15 m  x ±1.40  z [-0.46, 1.26]
  balloon      bouquet   top 3.14 m  x ±1.57  z [-0.32, 1.27]
  candyFloss   parasol   top 3.12 m  x ±1.39  z [-0.80, 1.27]
  iceCream     barrel    top 3.12 m  x ±1.40  z [-0.36, 1.26]
  hat          plank     top 3.09 m  x ±1.40  z [-0.60, 1.40]
  stickerPet   bunting   top 3.17 m  x ±1.32  z [-0.30, 1.26]
  surpriseEgg  sawtooth  top 3.11 m  x ±1.40  z [-0.35, 1.26]

  widest canopy 3.14 m; 4.38 m to the next stall
  7 distinct canopies for 7 stalls
  toy=gable+teddy, balloon=bouquet, candyFloss=parasol+floss, iceCream=barrel+cone, hat=plank+bobbleHat, stickerPet=bunting+star, surpriseEgg=sawtooth+egg

PASS: 7 stalls, all different, all under the ceiling and inside the aisle.
$ node scripts/checkGondolaSightline.mjs
Car 3.6 x 2.8 x 2.6 m. Player's cushion 0.8, eye 1.8. Pets' cushion 0.16.

Head clearance under the player's eye:
  pet.bunny      head 1.620 m  clearance 0.180 m  (view clear above 7.2° below the horizon)
  pet.kitten     head 1.620 m  clearance 0.180 m  (view clear above 7.2° below the horizon)
  pet.mouse      head 1.620 m  clearance 0.180 m  (view clear above 7.2° below the horizon)
  pet.puff       head 1.620 m  clearance 0.180 m  (view clear above 7.2° below the horizon)
  pet.ripika     head 1.640 m  clearance 0.160 m  (view clear above 6.4° below the horizon)
  toy.biscuit    head 1.320 m  clearance 0.480 m  (view clear above 18.7° below the horizon)
  toy.star       head 0.530 m  clearance 1.270 m  (view clear above 41.8° below the horizon)
  balloon.corgi  head 1.735 m  clearance 0.065 m  (view clear above 2.6° below the horizon)

Pets' cushion sits 0.64 m below the player's.

Fit inside the glass:
  pet.bunny      side reach 1.379 / 1.8   front reach 1.035 / 1.4
  pet.kitten     side reach 1.457 / 1.8   front reach 1.171 / 1.4
  pet.mouse      side reach 1.483 / 1.8   front reach 1.145 / 1.4
  pet.puff       side reach 1.651 / 1.8   front reach 1.272 / 1.4
  pet.ripika     side reach 1.653 / 1.8   front reach 1.070 / 1.4
  toy.biscuit    side reach 1.542 / 1.8   front reach 1.086 / 1.4
  toy.star       side reach 1.239 / 1.8   front reach 0.796 / 1.4
  balloon.corgi  side reach 1.496 / 1.8   front reach 0.970 / 1.4

Looking up through the front glass: clear to 13.7° above the horizon.
Headroom above the player's eye: 0.80 m.

PASS: every rider sits below the eye line and inside the glass.
$ node --import ./scripts/ts-extension-resolver-register.mjs scripts/measure-hop-clearance.mts
JUMP_APEX_HEIGHT (algebraic) = 1.2812 m
Collision.ts believes it was measured at 1.2812 m
Collision.ts currently permits topHeight <= 1.00 m
The "clean" column below is what that number must stay under.
  discrete apex at 30 fps: 1.1733 m
  discrete apex at 60 fps: 1.2267 m
  discrete apex at 90 fps: 1.2446 m
  discrete apex at 120 fps: 1.2538 m
  discrete apex at 144 fps: 1.2583 m

half   fps  gait    angle   clean   clean-or-pop
THREE.Texture: Unable to serialize Texture.
THREE.Texture: Unable to serialize Texture.
THREE.Texture: Unable to serialize Texture.
THREE.Texture: Unable to serialize Texture.
THREE.Texture: Unable to serialize Texture.
THREE.Texture: Unable to serialize Texture.
THREE.Texture: Unable to serialize Texture.
THREE.Texture: Unable to serialize Texture.
THREE.Texture: Unable to serialize Texture.
THREE.Texture: Unable to serialize Texture.
THREE.Texture: Unable to serialize Texture.
THREE.Texture: Unable to serialize Texture.
THREE.Texture: Unable to serialize Texture.
THREE.Texture: Unable to serialize Texture.
THREE.Texture: Unable to serialize Texture.
THREE.Texture: Unable to serialize Texture.
THREE.Texture: Unable to serialize Texture.
THREE.Texture: Unable to serialize Texture.
THREE.Texture: Unable to serialize Texture.
THREE.Texture: Unable to serialize Texture.
  control: 586 ridden frames, worst 12.18 m off the chute, closest pair 0.00 m, closest to her 0.00 m (deepest inside her 0.08 m), closest to its neighbour 0.00 m (deepest inside it 0.58 m), most upright lie 0.000 against -0.707, biggest single-frame step 3.803 m, nearest pet in shot on 0% of rasters (smallest 0.0%), 292 chase frames, 8 chase rasters (child at worst 628 px, biggest pet 0% of frame — —), furthest from her afterwards 4.2 m (0 undrawn, 1356 off-chute, 401 overtaking, 20 clipping, 1758 upright pet-frames)
check:pet-slide FAILED
  - in shot: the nearest companion filled at least 1% of the chase frame on only 88% of 8 rasters, against 95% required (its smallest was 0.0%) — it is behind her, but not in the shot
[ELIFECYCLE] Command failed with exit code 1.
[ELIFECYCLE] Command failed with exit code 1.
check exit: 1
